user_id,joined_at,grace_until,status,strikes,strike1_week,success_streak,pause_start,pause_end,pauses_used,last_seen,last_active_week,removed_at,removal_count,notes
916464267,2026-09-22,2000-01-01,active,0,,0,,,0,2026-09-22T01:46:53+00:00,2026-09-21,,0,
1425933192,2026-08-16,2000-01-01,active,0,,0,,,0,2026-08-16,,,0,
1436002435,2026-08-01,2000-01-01,active,0,,0,,,0,2026-09-22T06:12:45+00:00,2026-09-21,,0,
7334599398,2026-06-21,2000-01-01,active,0,,0,,,0,2026-09-22T15:46:52+00:00,2026-09-21,,0,
7374881586,2026-06-20,2000-01-01,active,0,,0,,,0,2026-09-21T20:54:43+00:00,2026-09-21,,0,
7508017555,2026-06-20,2000-01-01,active,0,,0,,,0,2026-09-23T23:06:53+00:00,2026-09-21,,0,
7545589531,2026-06-20,2000-01-01,active,0,,0,,,0,2026-09-24T00:47:00+00:00,2026-09-21,,0,
7845818180,2026-06-20,2000-01-01,active,0,,0,,,0,2026-09-23T23:57:24+00:00,2026-09-21,,0,
7847453913,2026-06-20,2000-01-01,active,0,,0,,,0,2026-09-22T14:04:01+00:00,2026-09-21,,0,
7900897634,2026-08-14,2000-01-01,active,0,,0,,,0,2026-09-21T22:55:08+00:00,2026-09-21,,0,
8115641770,2026-06-21,2000-01-01,active,0,,0,,,0,2026-06-21,,,0,
8151675510,2026-07-30,2000-01-01,active,0,,0,,,0,2026-09-21T23:08:53+00:00,2026-09-21,,0,
8412033714,2026-09-05,2000-01-01,active,0,,0,,,0,2026-09-22T01:18:06+00:00,2026-09-21,,0,
8537175647,2026-06-20,2000-01-01,active,0,,0,,,0,2026-09-22T15:41:45+00:00,2026-09-21,,0,
